,id,fish_id,sp,keep_release,vessel_capture,location,angler,hooch_spoon,date_hooked,estimate_time_netted,time_hooked,time_netted,fight_time_s,net_to_respo_s,water_temp_c,water_depth,line_depth,hatchery,angling_notes,girth_cm,fl_cm,dna_num,repunit.1,dna_pop,id_source,dna_sex,accelerometer_color,time_blood_post_angling,lactate,blood_ph_post_angling
1,403,BMCH_403,CHINOOK,release,Carolyn_Ann,Scott's Bay,SJ,3_0_hoochy,8/29/24,16:37,16:34:40,16:37:19,159,61,18.3,80,29,N,,40,75,241,SWVI,NITINAT_RIVER,GSI,presumed_female,red,17:39,21,7.67
2,404,BMCH_404,CHINOOK,release,Carolyn_Ann,Cape Beale,SJ,3_0_hoochy,8/30/24,11:09,11:06:50,11:09:47,177,65,13.1,124,87,N,,36,64,242,SWVI,NITINAT_RIVER,GSI,male,red,12:10,16.55,7.72
3,405,BMCH_405,CHINOOK,release,Carolyn_Ann,Harbour Entrance,SJ,3_0_hoochy,8/31/24,12:21,12:18:47,12:21:23,156,82,17.9,115,71,N,,48,81,243,SWVI,ROBERTSON_CREEK,PBT,male,red,13:20,18.9,7.7
4,406,BMCH_406,CHINOOK,release,Carolyn_Ann,Harbour Entrance,SJ,3_0_hoochy,8/31/24,13:16,13:14:47,13:16:36,109,53,17.9,61,29,N,,43,71,244,SWVI,ROBERTSON_CREEK,GSI,male,red,14:16,17.8,7.66
5,407,BMCH_407,CHINOOK,release,Carolyn_Ann,Harbour Entrance,SJ,3_0_hoochy,8/31/24,14:07,14:07:00,14:07:57,57,67,18.1,68,29,N,,29,64,245,SWVI,ROBERTSON_CREEK,GSI,male,red,15:08,13.45,7.7
6,410,BMCH_410,CHINOOK,release,Carolyn_Ann,Wall,QJ,3_0_spoon,9/1/24,07:39,07:37:42,07:39:52,130,78,16.9,322,43,N,healed predator wound,41,70,247,LFR-fall,STAVE_RIVER,GSI,presumed_female,green,08:39,17.3,7.53
7,412,BMCH_412,CHINOOK,release,Carolyn_Ann,Harbour Entrance,SJ,3_0_hoochy,9/1/24,13:26,13:24:10,13:26:14,124,104,16.8,52,29,N,,55,88,248,SWVI,ROBERTSON_CREEK,PBT,presumed_female,red,14:25,17.3,7.56
8,419,BMCH_419,CHINOOK,release,Carolyn_Ann,Harbour Entrance,QJ,3_0_hoochy,9/2/24,12:02,12:01:24,12:02:40,76,74,16,60,29,Y,,37,65,253,LCR,ABERNATHY_RIVER,GSI,male,red,13:02,18.65,7.57
9,416,BMCO_416,COHO,release,Fish_tank,Wall,RM,3_0_hoochy,9/2/24,06:55,06:58,06:57:00,120,165,15.5,NA,33,N,,38,71,193,WVI,ROBERTSON_CREEK,GSI,presumed_female,blue,07:56,22.2,7.68
10,429,BMCH_429,CHINOOK,release,Carolyn_Ann,Fleming,SJ,3_0_hoochy,9/4/24,07:25,07:24:18,07:25:51,93,69,15.2,63,23,N,,42,71,263,SWVI,ROBERTSON_CREEK,PBT,presumed_female,red,08:27,18.05,7.69
11,434,BMCH_434,CHINOOK,release,Carolyn_Ann,Fleming,SJ,3_0_hoochy,9/4/24,13:34,13:31:31,13:34:20,169,80,17.1,50,27,N,,47,76,268,SWVI,ROBERTSON_CREEK,PBT,male,green,14:35,17.5,7.54
12,435,BMCO_435,COHO,release,Carolyn_Ann,Fleming,SJ,3_0_hoochy,9/4/24,15:03,15:01:15,15:03:41,146,55,16.8,120,61,N,,45,76,195,WVI,MAGGIE_RIVER,GSI,male,blue,16:04,14.65,7.73
13,437,BMCH_437,CHINOOK,release,Carolyn_Ann,Cape Beale,QJ,3_0_hoochy,9/5/24,13:53,13:51:04,13:53:25,141,53,12.4,97,87,N,,46,74,270,LFR-fall,CHILLIWACK_RIVER_fall,PBT,male,blue,14:55,10.8,7.8
14,438,BMCO_438,COHO,release,Carolyn_Ann,Cape Beale,QJ,3_0_hoochy,9/5/24,15:20,15:19:04,15:20:15,71,70,13.8,78,52,N,,37,69,196,SWVI,ROBERTSON_CREEK,GSI,male,green,16:21,10.23,7.77